election_date,election_type,contest_status,constituency_number,constituency_name,province,assembly,voter_reg,votes_cast,turnout,votes_disq,disq_pct,validated_votes,MOV_votes,MOV_pct,win_votes,win_pct,win_party,win_name,second_votes,second_pct,second_party,second_name,third_votes,third_pct,third_party,third_name,remainder_votes,remainder_pct,effective_parties,Cox_SF_ratio,winbuckets,delimit
10/6/93,General Election,Contested,NA-104,Sheikhupura 4,Punjab,National,294888,123028,0.417202463,1047,0.008510258,121981,458,0.003754683,60917,0.499397447,Pakistan Peoples Party Parliamentarians,Ch. Tawakkalullah Virk,60459,0.495642764,Pakistan Muslim League (Nawaz),Haji Naeem Hussain Chatha,605,0.004959789,Independents,Malik Nazir Ali Noorka,0,0,2.019858607,0.010006781,157,Other Delimitation
2/3/97,General Election,Contested,NA-104,Sheikhupura 4,Punjab,National,300548,110189,0.366626961,2890,0.026227663,107299,43742,0.407664564,72038,0.671376248,Pakistan Muslim League (Nawaz),Naeem Hussain Chattha,28296,0.263711684,Pakistan Peoples Party Parliamentarians,Ch. Tawakalullah Virk,2760,0.025722514,Pakistan Tehreek-e-Insaf,Ch. M. Sadiq Dhillun,4205,0.039189554,1.917608503,0.097540288,141,Other Delimitation
10/10/02,General Election,Contested,NA-104,Gujrat 1,Punjab,National,303985,158322,0.520821751,4313,0.02724195,154009,19475,0.126453649,82126,0.53325455,Pakistan Muslim League (Qaid-e-Azam),Ch. Wajahat Hussain,62651,0.406800901,Pakistan Peoples Party Parliamentarians,Nawabzada Ghazanfar Ali Gul,5587,0.036277101,Muttahidda Majlis-e-Amal Pakistan,Qari M. Liaqat Ali Naqshbandi,3645,0.023667448,2.215189321,0.089176549,142,Delimitation 2002-2013
2/18/08,General Election,Contested,NA-104,Gujrat 1,Punjab,National,311343,173934,0.558657172,3586,0.020617016,170348,33005,0.19375044,96379,0.565777115,Pakistan Muslim League (Qaid-e-Azam),Chaudhary Wajahat Hussain,63374,0.372026675,Pakistan Peoples Party Parliamentarians,Nawabzada Ghazanfar Ali Gul,8927,0.05240449,Pakistan Muslim League (Nawaz),Syed Faisal Abbas,1668,0.00979172,2.167778392,0.140862183,142,Delimitation 2002-2013
5/11/13,General Election,Contested,NA-104,Gujrat 1,Punjab,National,374975,206548,0.550831389,6453,0.031242133,200095,3882,0.019400785,85113,0.425362953,Pakistan Muslim League (Nawaz),Nawabzada Mazher Ali,81231,0.405962168,Pakistan Muslim League (Qaid-e-Azam),Ch Wajahat Hussain,19318,0.096544142,Pakistan Tehreek-e-Insaf,Ch Usman Ali Tariq,14433,0.072130738,2.808637875,0.237815612,141,Delimitation 2002-2013
10/6/93,General Election,Contested,NA-105,Sheikhupura 5,Punjab,National,243707,92433,0.379279216,1121,0.012127703,91312,5380,0.058918872,48346,0.529459436,Pakistan Peoples Party Parliamentarians,Rai Bashir Ahmad Khan Bhatti,42966,0.470540564,Pakistan Muslim League (Nawaz),Rai Mansab Ali Khan,NA,NA,NA,NA,NA,NA,1.993081151,NA,157,Other Delimitation
2/3/97,General Election,Contested,NA-105,Sheikhupura 5,Punjab,National,252815,86629,0.342657675,2859,0.033002805,83770,19097,0.22796944,44049,0.525832637,Pakistan Muslim League (Nawaz),Rai Mansab Ali Khan,24952,0.297863197,Independents,Mehar Saeed Ahmad Zafar,11269,0.134523099,Pakistan Peoples Party Parliamentarians,Rai Bashir Ahmad Khan Bhatti,3500,0.041781067,2.603715775,0.451627124,141,Other Delimitation
10/10/02,General Election,Contested,NA-105,Gujrat 2,Punjab,National,292310,138588,0.474113099,3380,0.024388836,135208,14177,0.104853263,66809,0.49412017,Pakistan Muslim League (Qaid-e-Azam),Ch. Shujaat Hussain,52632,0.389266907,Pakistan Peoples Party Parliamentarians,Ch. Ahmad Mukhtar,6819,0.050433406,Muttahidda Majlis-e-Amal Pakistan,Hafiz Amjad Shaheen Warraich,8948,0.066179516,2.494609386,0.129559964,142,Delimitation 2002-2013
2/18/08,General Election,Contested,NA-105,Gujrat 2,Punjab,National,332332,149817,0.450805219,3638,0.024282959,146179,13997,0.095752468,79735,0.545461386,Pakistan Peoples Party Parliamentarians,Ch. Ahmed Mukhtar,65738,0.449708919,Pakistan Muslim League (Qaid-e-Azam),Ch. Shujaat Hussain,444,0.003037372,Independents,Ch. Muhammad Gul Nawaz,262,0.001792323,2.000885698,0.006754084,157,Delimitation 2002-2013
5/11/13,General Election,Contested,NA-105,Gujrat 2,Punjab,National,394060,204410,0.518728112,4492,0.021975442,199918,13375,0.06690243,78171,0.391015316,Pakistan Muslim League (Qaid-e-Azam),Ch Parvez Elahi,64796,0.324112886,Pakistan Muslim League (Nawaz),Ch Mubashir Hussain,40094,0.200552226,Pakistan Tehreek-e-Insaf,Muhammad Afzal Gondal,16857,0.084319571,3.317241759,0.618772764,Other Parties,Delimitation 2002-2013
10/6/93,General Election,Contested,NA-106,Kasur 1,Punjab,National,246355,121108,0.491599521,1377,0.011370017,119731,8763,0.073189065,46263,0.38639116,Pakistan Muslim League (Haqiqi),Sadar Asif Ahmad Ali,37500,0.313202095,Pakistan Muslim League (Nawaz),Mian Khurshid Mehmood Kasuri,27971,0.233615354,Independents,Malik M. Ali Khan,7997,0.066791391,3.292215673,0.745893333,Other Parties,Other Delimitation
2/3/97,General Election,Contested,NA-106,Kasur 1,Punjab,National,258085,100426,0.389119864,2642,0.026307928,97784,34786,0.355743271,62215,0.636249284,Pakistan Muslim League (Nawaz),Mian Khurshid Mehmood Kasuri,27429,0.280506013,Pakistan Muslim League-J (Chataha Group),Asif Ahmad Ali,3910,0.039986092,Independents,Mehar M. Rafiq,4230,0.043258611,2.05940685,0.142549856,141,Other Delimitation
10/10/02,General Election,Contested,NA-106,Gujrat 3,Punjab,National,319747,165680,0.51815967,5198,0.031373732,160482,13612,0.084819481,83438,0.519921237,Pakistan Peoples Party Parliamentarians,Ch. Qamar Zaman,69826,0.435101756,National Alliance,Mian M. Afzal Hayat,6357,0.039611919,Pakistan Awami Tehreek,Ch. M. Asghar Deona,861,0.005365088,2.168117951,0.091040587,157,Delimitation 2002-2013
2/18/08,General Election,Contested,NA-106,Gujrat 3,Punjab,National,322310,178885,0.555009153,6456,0.036090226,172429,18539,0.107516717,89555,0.519373191,Pakistan Peoples Party Parliamentarians,Qamar Zaman Kaira,71016,0.411856474,Pakistan Muslim League (Qaid-e-Azam),Syed Noor-Ul-Hassan Shah,10506,0.060929426,Pakistan Muslim League (Nawaz),Col(R) Mian Muhammad Akram,1352,0.007840908,2.256782329,0.147938493,157,Delimitation 2002-2013
5/11/13,General Election,Contested,NA-106,Gujrat 3,Punjab,National,413565,220710,0.533676689,6893,0.031231027,213817,27037,0.126449253,83024,0.388294663,Pakistan Muslim League (Nawaz),Ch Jaffar Iqbal,55987,0.26184541,Independents,Syed Noor Ul Hassan Shah,34775,0.162639079,Pakistan Peoples Party Parliamentarians,Qamar Zaman Kaira,40031,0.187220848,3.731671237,0.621126333,141,Delimitation 2002-2013
10/6/93,General Election,Contested,NA-107,Kasur 2,Punjab,National,187531,94748,0.505239134,1178,0.01243298,93570,13015,0.139093727,48169,0.514791066,Pakistan Muslim League (Nawaz),Rao Khizar Hayat,35154,0.375697339,Pakistan Peoples Party Parliamentarians,Tariq Hakim Ali,5026,0.053713797,Independents,Syeda Nielofer Mehdi,5221,0.055797798,2.438432025,0.142970928,141,Other Delimitation
2/3/97,General Election,Contested,NA-107,Kasur 2,Punjab,National,198135,90743,0.457985717,2911,0.032079609,87832,28073,0.31962155,50927,0.579822844,Pakistan Muslim League (Nawaz),Ch. M. Hanif Khan,22854,0.260201293,Pakistan Muslim League-J (Chataha Group),Mazhar Hayat,6743,0.076771564,Independents,M. Hussain Ansari,7308,0.083204299,2.42440474,0.295046819,141,Other Delimitation
10/10/02,General Election,Contested,NA-107,Gujrat 4,Punjab,National,308463,163542,0.530183523,5399,0.033012926,158143,3811,0.024098443,52484,0.331876846,Pakistan Peoples Party Parliamentarians,Rehman Naseer Ch.,48673,0.307778403,Pakistan Muslim League (Qaid-e-Azam),Syed Noor-Ul-Hassan Shah,43905,0.277628475,Pakistan Muslim League (Nawaz),Malik Ajmal Siddiq,13081,0.082716276,3.504397716,0.902040145,157,Delimitation 2002-2013
